iter	Passed	Remaining
0	154	15332
1	161	7903
2	167	5404
3	173	4152
4	178	3393
5	184	2888
6	189	2523
7	194	2239
8	200	2024
9	205	1851
10	211	1712
11	216	1590
12	222	1487
13	227	1398
14	232	1317
15	238	1249
16	243	1188
17	248	1130
18	252	1077
19	258	1034
20	263	992
21	268	953
22	274	917
23	278	882
24	283	850
25	288	820
26	293	792
27	298	767
28	303	744
29	309	721
30	313	697
31	318	677
32	323	656
33	327	636
34	332	617
35	337	599
36	341	581
37	346	565
38	351	549
39	356	534
40	362	521
41	367	507
42	371	492
43	375	478
44	380	465
45	385	452
46	389	439
47	394	427
48	399	415
49	403	403
50	408	392
51	413	381
52	417	370
53	422	359
54	427	349
55	431	339
56	435	328
57	440	319
58	444	309
59	449	299
60	454	290
61	458	281
62	463	272
63	467	263
64	472	254
65	476	245
66	481	237
67	485	228
68	490	220
69	495	212
70	500	204
71	505	196
72	509	188
73	514	180
74	519	173
75	524	165
76	528	157
77	533	150
78	537	142
79	542	135
80	546	128
81	550	120
82	555	113
83	559	106
84	564	99
85	568	92
86	572	85
87	577	78
88	582	72
89	587	65
90	593	58
91	597	51
92	602	45
93	606	38
94	611	32
95	615	25
96	619	19
97	624	12
98	628	6
99	632	0
