feature,importance,importance_percent,cumulative_percent
air_outlet_flow,48.663466846194034,48.66,48.66
hydrogen_inlet_temp,19.755830169116713,19.76,68.42
current,9.402491482935886,9.4,77.82000000000001
coolant_flow,7.372665134033798,7.37,85.19000000000001
J (A/cm²),6.932119924301858,6.93,92.12
air_outlet_pressure,3.193230544209203,3.19,95.31
coolant_inlet_temp,3.021720658681982,3.02,98.33
air_inlet_pressure,0.9303025472007344,0.93,99.26
hydrogen_outlet_temp,0.4439559866445953,0.44,99.7
hydrogen_inlet_flow,0.16473086117282124,0.16,99.86
air_outlet_temp,0.08466605908827153,0.08,99.94
hydrogen_outlet_flow,0.03481978642011559,0.03,99.97
coolant_outlet_temp,0.0,0.0,99.97
air_inlet_temp,0.0,0.0,99.97
hydrogen_outlet_pressure,0.0,0.0,99.97
hydrogen_inlet_pressure,0.0,0.0,99.97
air_inlet_flow,0.0,0.0,99.97
air_inlet_humidity,0.0,0.0,99.97
